second,Volt1
-2.46206070E-03,+3.27647856335E+00
-2.46198390E-03,+3.28149101349E+00
-2.46190710E-03,+3.27982586949E+00
-2.46183030E-03,+3.28484041477E+00
-2.46175350E-03,+3.28483614737E+00
-2.46167670E-03,+3.28149313433E+00
-2.46159990E-03,+3.28149313433E+00
-2.46152310E-03,+3.28149528088E+00
-2.46144630E-03,+3.28316247288E+00
-2.46136950E-03,+3.27981518388E+00
-2.46129270E-03,+3.27647653248E+00
-2.46121590E-03,+3.27982598518E+00
-2.46113910E-03,+3.28483391085E+00
-2.46106230E-03,+3.27982383863E+00
-2.46098550E-03,+3.28316459801E+00
-2.46090870E-03,+3.28149313433E+00
-2.46083190E-03,+3.28150187477E+00
-2.46075510E-03,+3.28817455883E+00
-2.46067830E-03,+3.27815024125E+00
-2.46060150E-03,+3.28149533230E+00
-2.46052470E-03,+3.28316897680E+00
-2.46044790E-03,+3.28483820823E+00
-2.46037110E-03,+3.28316898537E+00
-2.46029430E-03,+3.28484262987E+00
-2.46021750E-03,+3.28650517744E+00
-2.46014070E-03,+3.27982616513E+00
-2.46006390E-03,+3.28483818681E+00
-2.45998710E-03,+3.28316231007E+00
-2.45991030E-03,+3.27981278454E+00
-2.45983350E-03,+3.27480753670E+00
-2.45975670E-03,+3.28149088924E+00
-2.45967990E-03,+3.27982174349E+00
-2.45960310E-03,+3.28149538799E+00
-2.45952630E-03,+3.28316451660E+00
-2.45944950E-03,+3.28149087210E+00
-2.45937270E-03,+3.27981722760E+00
-2.45929590E-03,+3.27815493710E+00
-2.45921910E-03,+3.28483358951E+00
-2.45914230E-03,+3.27981949411E+00
-2.45906550E-03,+3.27981949411E+00
-2.45898870E-03,+3.27981949411E+00
-2.45891189E-03,+3.27981720189E+00
-2.45883509E-03,+3.27815733644E+00
-2.45875829E-03,+3.28651175419E+00
-2.45868149E-03,+3.28484041477E+00
-2.45860469E-03,+3.28483348668E+00
-2.45852789E-03,+3.27982412141E+00
-2.45845109E-03,+3.28316213869E+00
-2.45837429E-03,+3.27981949411E+00
-2.45829749E-03,+3.27982414711E+00
-2.45822069E-03,+3.28316677455E+00
-2.45814389E-03,+3.28317844989E+00
-2.45806709E-03,+3.29152093952E+00
-2.45799029E-03,+3.28149313433E+00
-2.45791349E-03,+3.28149313433E+00
-2.45783669E-03,+3.28149078212E+00
-2.45775989E-03,+3.27981713762E+00
-2.45768309E-03,+3.27814585390E+00
-2.45760629E-03,+3.27815058402E+00
-2.45752949E-03,+3.28149550368E+00
-2.45745269E-03,+3.28316677455E+00
-2.45737589E-03,+3.28316201872E+00
-2.45729909E-03,+3.27981472972E+00
-2.45722229E-03,+3.27647937313E+00
-2.45714549E-03,+3.28149313433E+00
-2.45706869E-03,+3.28148355412E+00
-2.45699189E-03,+3.27481057015E+00
-2.45691509E-03,+3.28316677455E+00
-2.45683829E-03,+3.28316436664E+00
-2.45676149E-03,+3.28150037090E+00
-2.45668469E-03,+3.28649955613E+00
-2.45660789E-03,+3.27647463444E+00
-2.45653109E-03,+3.27815312903E+00
-2.45645429E-03,+3.28316191589E+00
-2.45637749E-03,+3.27982192773E+00
-2.45630069E-03,+3.28149313433E+00
-2.45622389E-03,+3.28149313433E+00
-2.45614709E-03,+3.28149068786E+00
-2.45607029E-03,+3.27981704336E+00
-2.45599349E-03,+3.27814830893E+00
-2.45591669E-03,+3.27982195343E+00
-2.45583989E-03,+3.28149313433E+00
-2.45576309E-03,+3.28149560222E+00
-2.45568629E-03,+3.28316430237E+00
-2.45560949E-03,+3.28149065787E+00
-2.45553269E-03,+3.27981701337E+00
-2.45545589E-03,+3.27814585390E+00
-2.45537909E-03,+3.27815083252E+00
-2.45530229E-03,+3.28149562793E+00
-2.45522549E-03,+3.28316427667E+00
-2.45514869E-03,+3.28149813866E+00
-2.45507188E-03,+3.28482788251E+00
-2.45499508E-03,+3.27647974588E+00
-2.45491828E-03,+3.28148810429E+00
-2.45484148E-03,+3.27815089250E+00
-2.45476468E-03,+3.28149061074E+00
-2.45468788E-03,+3.27981949411E+00
-2.45461108E-03,+3.27982202627E+00
-2.45453428E-03,+3.28149313433E+00
-2.45445748E-03,+3.28148551215E+00
-2.45438068E-03,+3.27647475869E+00
-2.45430388E-03,+3.27815350178E+00
-2.45422708E-03,+3.28315656023E+00
-2.45415028E-03,+3.27648500300E+00
-2.45407348E-03,+3.28483016617E+00
-2.45399668E-03,+3.27814072103E+00
-2.45391988E-03,+3.27480371490E+00
-2.45384308E-03,+3.27814842890E+00
-2.45376628E-03,+3.27981949411E+00
-2.45368948E-03,+3.27981949411E+00
-2.45361268E-03,+3.27981949411E+00
-2.45353588E-03,+3.27982467840E+00
-2.45345908E-03,+3.28315379242E+00
-2.45338228E-03,+3.27479597275E+00
-2.45330548E-03,+3.27313535322E+00
-2.45322868E-03,+3.27981166628E+00
-2.45315188E-03,+3.27480118702E+00
-2.45307508E-03,+3.27647483153E+00
-2.45299828E-03,+3.27815109816E+00
-2.45292148E-03,+3.28149050791E+00
-2.45284468E-03,+3.27981949411E+00
-2.45276788E-03,+3.27981685913E+00
-2.45269108E-03,+3.27813793608E+00
-2.45261428E-03,+3.27312493324E+00
-2.45253748E-03,+3.27313287676E+00
-2.45246068E-03,+3.27814850602E+00
-2.45238388E-03,+3.27981949411E+00
-2.45230708E-03,+3.27981417273E+00
-2.45223028E-03,+3.27646954870E+00
-2.45215348E-03,+3.27480391199E+00
-2.45207668E-03,+3.27814852744E+00
-2.45199988E-03,+3.27981949411E+00
-2.45192308E-03,+3.27981949411E+00
-2.45184628E-03,+3.27982755331E+00
-2.45176948E-03,+3.28482157997E+00
-2.45169268E-03,+3.27313571312E+00
-2.45161588E-03,+3.27981679486E+00
-2.45153908E-03,+3.27814855743E+00
-2.45146228E-03,+3.27981678629E+00
-2.45138548E-03,+3.27816212654E+00
-2.45130868E-03,+3.28816596406E+00
-2.45123188E-03,+3.27480129414E+00
-2.45115507E-03,+3.27648038856E+00
-2.45107827E-03,+3.28149040509E+00
-2.45100147E-03,+3.27981949411E+00
-2.45092467E-03,+3.27981949411E+00
-2.45084787E-03,+3.27981400991E+00
-2.45077107E-03,+3.27647496006E+00
-2.45069427E-03,+3.27815410590E+00
-2.45061747E-03,+3.28315850969E+00
-2.45054067E-03,+3.27814585390E+00
-2.45046387E-03,+3.27814861742E+00
-2.45038707E-03,+3.27981949411E+00
-2.45031027E-03,+3.27981117784E+00
-2.45023347E-03,+3.27480967896E+00
-2.45015667E-03,+3.28149035367E+00
-2.45007987E-03,+3.27982227906E+00
-2.45000307E-03,+3.28149034510E+00
-2.44992627E-03,+3.27981949411E+00
-2.44984947E-03,+3.27981669632E+00
-2.44977267E-03,+3.27814024973E+00
-2.44969587E-03,+3.27480699256E+00
-2.44961907E-03,+3.27982230477E+00
-2.44954227E-03,+3.28148187459E+00
-2.44946547E-03,+3.27479857346E+00
-2.44938867E-03,+3.27480139697E+00
-2.44931187E-03,+3.27648069705E+00
-2.44923507E-03,+3.28147897396E+00
-2.44915827E-03,+3.27313060596E+00
-2.44908147E-03,+3.27648073561E+00
-2.44900467E-03,+3.28148744447E+00
