second,Volt1,Volt2,Volt3,Volt4
-5.000E-03,+34.990E-03,+32.048E-03,+420.803E-03,+25.000E-03
-2.500E-03,+34.990E-03,+61.663E-03,+450.418E-03,+37.494E-03
-0.0E+00,+22.646E-03,+28.190E-03,+450.418E-03,+46.130E-03
+2.500E-03,+31.282E-03,+28.190E-03,+1.052929E+00,+25.000E-03
+5.000E-03,+34.990E-03,+28.190E-03,+1.789331E+00,+58.473E-03
+7.500E-03,+15.082E-03,+61.663E-03,+2.391841E+00,+44.908E-03
+10.000E-03,+12.789E-03,+50.734E-03,+2.904862E+00,+13.728E-03
+12.500E-03,+1.517E-03,+28.190E-03,+3.262134E+00,+27.636E-03
+15.000E-03,+1.517E-03,+55.663E-03,+3.468971E+00,+58.473E-03
+17.500E-03,+53.826E-03,+61.663E-03,+3.831171E+00,+43.837E-03
+20.000E-03,+34.990E-03,+61.663E-03,+3.998535E+00,+48.272E-03
+22.500E-03,+34.990E-03,+61.663E-03,+4.165899E+00,+25.000E-03
+25.000E-03,+8.588E-03,+28.190E-03,+4.299791E+00,+25.000E-03
+27.500E-03,+1.517E-03,+45.956E-03,+4.384502E+00,+25.000E-03
+30.000E-03,-13.697E-03,+28.190E-03,+4.415422E+00,+49.343E-03
+32.500E-03,+34.990E-03,+28.684E-03,+4.567573E+00,+25.494E-03
+35.000E-03,+9.659E-03,+53.521E-03,+4.601046E+00,+58.473E-03
+37.500E-03,+18.295E-03,+44.969E-03,+4.601046E+00,+25.000E-03
+40.000E-03,+60.404E-03,+36.249E-03,+4.601046E+00,+7.644E-03
+42.500E-03,+2.094E-03,+28.190E-03,+4.601046E+00,+57.895E-03
+45.000E-03,+25.776E-03,+61.663E-03,+4.601046E+00,+34.213E-03
+47.500E-03,+34.990E-03,+61.663E-03,+4.601046E+00,+42.849E-03
+50.000E-03,+8.504E-03,+35.178E-03,+4.601046E+00,+51.485E-03
+52.500E-03,+66.814E-03,+60.015E-03,+4.601046E+00,+58.473E-03
+55.000E-03,+1.517E-03,+51.379E-03,+4.601046E+00,+25.000E-03
+57.500E-03,+34.990E-03,+28.190E-03,+4.601046E+00,+43.921E-03
+60.000E-03,+1.517E-03,+34.107E-03,+4.601046E+00,+25.000E-03
+62.500E-03,+32.270E-03,+61.663E-03,+4.601046E+00,+25.000E-03
+65.000E-03,+34.990E-03,+39.546E-03,+4.601046E+00,+36.356E-03
+67.500E-03,+3.281851E+00,+2.039387E+00,+4.601046E+00,+352.757E-03
+70.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+72.500E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+75.000E-03,+3.315324E+00,+3.320952E+00,+4.601046E+00,+37.427E-03
+77.500E-03,+3.336387E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+80.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+21.226E-03
+82.500E-03,+3.286713E+00,+3.313387E+00,+4.601046E+00,+29.862E-03
+85.000E-03,+3.315324E+00,+3.322023E+00,+4.601046E+00,+25.000E-03
+87.500E-03,+3.303985E+00,+3.319864E+00,+4.601046E+00,+13.661E-03
+90.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,-3.067E-03
+92.500E-03,+3.321257E+00,+3.314458E+00,+4.601046E+00,+25.000E-03
+95.000E-03,+3.315324E+00,+3.323094E+00,+4.601046E+00,+25.000E-03
+97.500E-03,+3.315324E+00,+3.321462E+00,+4.601046E+00,+25.000E-03
+100.000E-03,+3.316956E+00,+3.340366E+00,+4.601046E+00,-6.841E-03
+102.500E-03,+3.288856E+00,+3.334994E+00,+4.601046E+00,-8.473E-03
+105.000E-03,+3.315324E+00,+3.326358E+00,+4.601046E+00,+40.640E-03
+107.500E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+110.000E-03,+3.315324E+00,+3.309086E+00,+4.601046E+00,+25.000E-03
+112.500E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+16.925E-03
+115.000E-03,+3.332086E+00,+3.308525E+00,+4.601046E+00,+8.238E-03
+117.500E-03,+3.315324E+00,+3.316651E+00,+4.601046E+00,+25.000E-03
+120.000E-03,+3.315324E+00,+3.309035E+00,+4.601046E+00,+25.000E-03
+122.500E-03,+3.315324E+00,+3.317671E+00,+4.601046E+00,+49.326E-03
+125.000E-03,+3.297542E+00,+3.324215E+00,+4.601046E+00,+25.000E-03
+127.500E-03,+3.322379E+00,+3.341998E+00,+4.601046E+00,+32.054E-03
+130.000E-03,+3.315324E+00,+3.340416E+00,+4.601046E+00,+25.000E-03
+132.500E-03,+3.315324E+00,+3.331780E+00,+4.601046E+00,+25.000E-03
+135.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+137.500E-03,+3.287835E+00,+3.341998E+00,+4.601046E+00,+30.983E-03
+140.000E-03,+3.315324E+00,+3.311178E+00,+4.601046E+00,+22.347E-03
+142.500E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+145.000E-03,+3.295400E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+147.500E-03,+3.281851E+00,+3.313437E+00,+4.601046E+00,+25.000E-03
+150.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+152.500E-03,+3.294211E+00,+3.320885E+00,+4.601046E+00,+25.000E-03
+155.000E-03,+3.336320E+00,+3.308525E+00,+4.601046E+00,+58.473E-03
+157.500E-03,+3.344956E+00,+3.312366E+00,+4.601046E+00,+21.159E-03
+160.000E-03,+3.315324E+00,+3.313320E+00,+4.601046E+00,+25.000E-03
+162.500E-03,+3.281851E+00,+3.321956E+00,+4.601046E+00,+38.431E-03
+165.000E-03,+3.315324E+00,+3.319931E+00,+4.601046E+00,+35.661E-03
+167.500E-03,+3.315324E+00,+3.311295E+00,+4.601046E+00,-8.473E-03
+170.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+46.741E-03
+172.500E-03,+3.300822E+00,+3.323027E+00,+4.601046E+00,-8.473E-03
+175.000E-03,+3.304989E+00,+3.375471E+00,+4.601046E+00,+25.000E-03
+177.500E-03,+3.283550E+00,+3.340299E+00,+4.601046E+00,-5.075E-03
+180.000E-03,+3.315324E+00,+3.315462E+00,+4.601046E+00,+25.000E-03
+182.500E-03,+3.297425E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+185.000E-03,+3.291115E+00,+3.308525E+00,+4.601046E+00,+49.209E-03
+187.500E-03,+3.348169E+00,+3.308525E+00,+4.601046E+00,-7.845E-03
+190.000E-03,+3.315324E+00,+3.341998E+00,+4.601046E+00,+25.000E-03
+192.500E-03,+3.315324E+00,+3.325169E+00,+4.601046E+00,+41.644E-03
+195.000E-03,+3.315324E+00,+3.333805E+00,+4.601046E+00,+42.088E-03
+197.500E-03,+3.282738E+00,+3.341998E+00,+4.601046E+00,-7.586E-03
+200.000E-03,+3.306245E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+202.500E-03,+3.281851E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+205.000E-03,+3.322446E+00,+3.289295E+00,+4.601046E+00,+51.351E-03
+207.500E-03,+3.315324E+00,+3.340483E+00,+4.601046E+00,+56.958E-03
+210.000E-03,+3.292002E+00,+3.331847E+00,+4.601046E+00,+25.000E-03
+212.500E-03,+3.300638E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+215.000E-03,+3.315324E+00,+3.335948E+00,+4.601046E+00,+25.000E-03
+217.500E-03,+3.312738E+00,+3.339412E+00,+4.601046E+00,+25.000E-03
+220.000E-03,+3.293073E+00,+3.308525E+00,+4.601046E+00,+58.473E-03
+222.500E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,-8.473E-03
+225.000E-03,+3.286830E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+227.500E-03,+3.315324E+00,+3.312182E+00,+4.601046E+00,+25.000E-03
+230.000E-03,+3.327617E+00,+3.308525E+00,+4.601046E+00,+58.473E-03
+232.500E-03,+3.315324E+00,+3.287596E+00,+4.601046E+00,+25.000E-03
+235.000E-03,+3.285759E+00,+3.338090E+00,+4.601046E+00,+21.092E-03
+237.500E-03,+3.315324E+00,+3.313253E+00,+4.601046E+00,+53.745E-03
+240.000E-03,+3.315324E+00,+3.321889E+00,+4.601046E+00,+4.891E-03
+242.500E-03,+3.337324E+00,+3.308525E+00,+4.601046E+00,+25.000E-03
+245.000E-03,+3.284688E+00,+3.339161E+00,+4.601046E+00,+52.799E-03
+247.500E-03,+3.315324E+00,+3.336199E+00,+4.601046E+00,-8.473E-03
+250.000E-03,+3.315324E+00,+3.322960E+00,+4.601046E+00,+58.473E-03
+252.500E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,+1.929E-03
+255.000E-03,+3.315324E+00,+3.308525E+00,+4.601046E+00,-6.707E-03
