s,v,i
2900,3.29989,1.41428e-05
2901,3.29996,9.21224e-06
2902,3.29993,3.0232e-05
2903,3.29992,2.8675e-05
2904,3.29996,3.64601e-05
2905,3.29989,2.8675e-05
2906,3.29997,3.51626e-05
2907,3.29991,2.69882e-05
2908,3.29982,2.08899e-05
2909,3.29997,2.02411e-05
2910,3.30001,3.60709e-05
2911,3.29978,2.80262e-05
2912,3.29997,7.78502e-06
2913,3.30003,2.51717e-05
2914,3.30003,4.54121e-06
2915,3.29988,2.82857e-05
2916,3.2999,1.90734e-05
2917,3.29997,2.3485e-05
2918,3.3,2.19279e-05
2919,3.29998,2.15387e-05
2920,3.3,3.30866e-05
2921,3.30004,3.63296e-06
2922,3.29985,3.36056e-05
2923,3.29988,1.42726e-05
2924,3.30001,4.89162e-05
2925,3.29996,-5.31991e-06
2926,3.29994,4.26881e-05
2927,3.29993,2.63395e-05
2928,3.29993,-1.1548e-05
2929,3.29986,1.89436e-05
2930,3.29984,3.36055e-05
2931,3.30002,1.79056e-05
2932,3.30006,3.52923e-05
2933,3.2999,2.69882e-05
2934,3.29998,1.62189e-05
2935,3.29986,1.73866e-05
2936,3.29994,7.26601e-06
2937,3.29996,4.24287e-05
2938,3.29996,2.608e-05
2939,3.30003,2.7118e-05
2940,3.29984,2.7637e-05
2941,3.29997,3.47733e-05
2942,3.29987,2.12792e-05
2943,3.29991,2.16684e-05
2944,3.2999,2.58205e-05
2945,3.29995,1.0899e-05
2946,3.30003,2.02411e-05
2947,3.2999,3.04915e-05
2948,3.29998,3.3346e-05
2949,3.29996,1.68676e-05
2950,3.29993,3.19188e-05
2951,3.2999,4.15204e-05
2952,3.30004,1.75164e-05
2953,3.3,1.50511e-05
2954,3.3,1.47916e-05
2955,3.29999,2.11494e-05
2956,3.3,3.45138e-05
2957,3.29996,2.11494e-05
2958,3.29991,2.53014e-05
2959,3.30006,2.7118e-05
2960,3.29999,2.51717e-05
2961,3.29987,1.62189e-05
2962,3.29983,1.50511e-05
2963,3.29989,1.62188e-05
2964,3.29998,2.45229e-05
2965,3.29998,1.37536e-05
2966,3.29984,3.08808e-05
2967,3.30003,2.08899e-05
2968,3.3,3.56816e-05
2969,3.29992,1.44023e-05
2970,3.29997,2.69882e-05
2971,3.29997,1.06395e-05
2972,3.29994,2.11494e-05
2973,3.29992,1.12883e-05
2974,3.29983,4.54122e-06
2975,3.29999,2.8156e-05
2976,3.3,6.87675e-06
2977,3.2999,1.18073e-05
2978,3.29999,3.06213e-05
2979,3.29991,3.15295e-05
2980,3.29993,7.13624e-06
2981,3.3,4.5413e-05
2982,3.29994,1.02503e-05
2983,3.29986,8.43377e-06
2984,3.29996,9.86103e-06
2985,3.30003,2.41337e-05
2986,3.29986,3.78874e-05
2987,3.30011,3.2827e-05
2988,3.29997,1.59593e-05
2989,3.29987,1.80354e-05
2990,3.29994,1.51808e-05
2991,3.29995,2.05006e-05
2992,3.29996,2.8156e-05
2993,3.29999,3.99634e-05
2994,3.29988,3.60708e-05
2995,3.29996,1.66081e-05
2996,3.29987,4.06121e-05
2997,3.30004,2.33552e-05
2998,3.30003,1.56999e-05
2999,3.30001,4.47642e-05
3000,3.29987,2.25767e-05
3001,3.2999,3.67196e-05
3002,3.29987,2.49122e-05
3003,3.29995,3.23081e-05
3004,3.29996,3.65898e-05
3005,3.29992,3.76279e-05
3006,3.3,2.80263e-05
3007,3.29996,5.4495e-06
3008,3.29993,3.34758e-05
3009,3.30011,1.12883e-05
3010,3.29996,1.95924e-05
3011,3.29987,3.85361e-05
3012,3.29997,7.39576e-06
3013,3.29994,7.00649e-06
3014,3.29994,2.36147e-05
3015,3.29987,1.38833e-05
3016,3.29996,2.5561e-05
3017,3.2999,3.20485e-05
3018,3.29996,1.60891e-05
3019,3.2999,2.42634e-05
3020,3.3,1.89436e-05
3021,3.29997,2.37444e-05
3022,3.2999,1.72569e-05
3023,3.29983,1.31048e-05
3024,3.29987,1.33643e-05
3025,3.29992,2.7637e-05
3026,3.29998,3.69791e-05
3027,3.3,3.42543e-05
3028,3.30002,2.30957e-05
3029,3.29997,2.75072e-05
3030,3.30006,7.5255e-06
3031,3.29981,3.52923e-05
3032,3.29993,3.47733e-05
3033,3.30003,2.72477e-05
3034,3.29998,3.58113e-05
3035,3.29998,1.06395e-05
3036,3.29995,2.34849e-05
3037,3.2999,3.34758e-05
3038,3.29975,1.38833e-05
3039,3.29987,3.16593e-05
3040,3.29993,3.54221e-05
3041,3.29987,2.89345e-05
3042,3.29987,1.79056e-05
3043,3.29994,1.85544e-05
3044,3.29987,2.89345e-05
3045,3.30011,2.2966e-05
3046,3.30003,1.88139e-05
3047,3.29998,6.87675e-06
3048,3.29983,3.06213e-05
3049,3.29996,3.74981e-05
3050,3.29984,2.17982e-05
3051,3.29992,3.10105e-05
3052,3.29988,2.12792e-05
3053,3.30001,2.67287e-05
3054,3.30002,1.15478e-05
3055,3.29995,1.54404e-05
3056,3.29988,2.9713e-05
3057,3.29997,1.1418e-05
3058,3.29989,2.9194e-05
