second,Volt1,Volt2,Volt3,Volt4
-5.868000E+00,+3.211617E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.866000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.864000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.862000E+00,+3.208361E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.860000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.858000E+00,+3.208037E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.856000E+00,+3.212041E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.854000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.852000E+00,+3.215506E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.850000E+00,+3.210736E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.848000E+00,+3.212248E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.846000E+00,+3.209887E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.844000E+00,+3.206319E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.842000E+00,+3.211502E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.840000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.838000E+00,+3.207703E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.836000E+00,+3.210083E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.834000E+00,+3.212469E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.832000E+00,+3.210638E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.830000E+00,+3.212459E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.828000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.826000E+00,+3.212140E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.824000E+00,+3.210304E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.822000E+00,+3.206427E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.820000E+00,+3.204916E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.818000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.816000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.814000E+00,+3.211168E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.812000E+00,+3.205985E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.810000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.808000E+00,+3.209008E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.806000E+00,+3.206621E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.804000E+00,+3.212031E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.802000E+00,+3.206848E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.800000E+00,+3.208360E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.798000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.796000E+00,+3.206860E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.794000E+00,+3.208695E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.792000E+00,+3.207184E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.790000E+00,+3.209019E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.788000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.786000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.784000E+00,+3.208354E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.782000E+00,+3.211377E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.780000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.778000E+00,+3.210729E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.776000E+00,+3.209763E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.774000E+00,+3.210315E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.772000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.770000E+00,+3.208810E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.768000E+00,+3.209115E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.766000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.764000E+00,+3.208791E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.762000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.760000E+00,+3.206429E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.758000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.756000E+00,+3.206753E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.754000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.752000E+00,+3.212469E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.750000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.748000E+00,+3.207401E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.746000E+00,+3.206004E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.744000E+00,+3.207725E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.742000E+00,+3.211591E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.740000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.738000E+00,+3.208359E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.736000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.734000E+00,+3.210295E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.732000E+00,+3.211619E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.730000E+00,+3.207185E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.728000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.726000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
